Nome moeda,Símbolo,Preço,Variação 1h,Variação 24h,Variação 7d,Market Cap,Volume 24h,Oferta circulante
Bitcoin,BTC,"$83,338.58",0.11%,4.64%,0.49%,$1.65T,"$1,652,951,048,321","$40,698,797,847"
Ethereum,ETH,"$1,564.17",0.14%,2.48%,13.87%,$188.58B,"$188,580,864,500","$14,290,668,799"
Tether,USDT,$0.9996,0.01%,0.05%,0.01%,$144.28B,"$144,282,835,745","$69,802,919,448"
XRP,XRP,$2.01,0.23%,2.45%,4.95%,$117.83B,"$117,829,122,548","$3,438,578,311"
BNB,BNB,$585.27,0.32%,1.08%,1.90%,$83.46B,"$83,461,214,520","$1,368,402,225"
Solana,SOL,$121.45,0.72%,7.39%,0.81%,$62.67B,"$62,667,212,546","$3,948,217,924"
USDC,USDC,$0.9999,0.01%,0.02%,0.00%,$60.08B,"$60,076,571,723","$11,011,086,084"
Dogecoin,DOGE,$0.1597,0.09%,3.44%,6.33%,$23.77B,"$23,769,283,090","$860,583,196"
TRON,TRX,$0.2430,0.09%,3.11%,1.77%,$23.08B,"$23,081,884,969","$517,663,288"
Cardano,ADA,$0.6233,0.16%,1.99%,5.66%,$21.99B,"$21,991,987,216","$834,162,372"
UNUS SED LEO,LEO,9.38,,,,,,
Chainlink,LINK,12.66,,,,,,
Avalanche,AVAX,19.12,,,,,,
Toncoin,TON,2.91,,,,,,
Stellar,XLM,0.23,,,,,,
Shiba Inu,SHIB,0.00,,,,,,
Sui,SUI,2.18,,,,,,
Hedera,HBAR,0.17,,,,,,
Bitcoin Cash,BCH,312.55,,,,,,
MANTRA,OM,6.40,,,,,,
Litecoin,LTC,76.10,,,,,,
Polkadot,DOT,3.56,,,,,,
Dai,DAI,1.00,,,,,,
Hyperliquid,HYPE,15.61,,,,,,
Bitget Token,BGB,4.30,,,,,,
Ethena USDe,USDe,1.00,,,,,,
Pi,PI,0.63,,,,,,
Monero,XMR,206.57,,,,,,
Uniswap,UNI,5.23,,,,,,
OKB,OKB,53.28,,,,,,
Pepe,PEPE,0.00,,,,,,
Aptos,APT,4.78,,,,,,
Ondo,ONDO,0.89,,,,,,
GateToken,GT,22.25,,,,,,
NEAR Protocol,NEAR,2.08,,,,,,
Internet Computer,ICP,5.05,,,,,,
Mantle,MNT,0.70,,,,,,
Cronos,CRO,0.09,,,,,,
Ethereum Classic,ETC,15.17,,,,,,
Bittensor,TAO,250.29,,,,,,
Aave,AAVE,136.28,,,,,,
Kaspa,KAS,0.08,,,,,,
Render,RENDER,3.74,,,,,,
POL (prev. MATIC),POL,0.18,,,,,,
VeChain,VET,0.02,,,,,,
Ethena,ENA,0.32,,,,,,
First Digital USD,FDUSD,1.00,,,,,,
Cosmos,ATOM,4.23,,,,,,
OFFICIAL TRUMP,TRUMP,8.04,,,,,,
Filecoin,FIL,2.46,,,,,,
Algorand,ALGO,0.18,,,,,,
Celestia,TIA,2.53,,,,,,
Sonic (prev. FTM),S,0.48,,,,,,
Arbitrum,ARB,0.29,,,,,,
KuCoin Token,KCS,10.48,,,,,,
DeXe,DEXE,14.70,,,,,,
XDC Network,XDC,0.07,,,,,,
Maker,MKR,1331.21,,,,,,
Optimism,OP,0.66,,,,,,
Jupiter,JUP,0.38,,,,,,
Artificial Superintelligence Alliance,FET,0.45,,,,,,
Story,IP,3.97,,,,,,
Bonk,BONK,0.00,,,,,,
EOS,EOS,0.62,,,,,,
Flare,FLR,0.02,,,,,,
Stacks,STX,0.62,,,,,,
Worldcoin,WLD,0.74,,,,,,
Fartcoin,FARTCOIN,0.88,,,,,,
Movement,MOVE,0.34,,,,,,
PayPal USD,PYUSD,1.00,,,,,,
Injective,INJ,8.24,,,,,,
Tether Gold,XAUt,3254.88,,,,,,
Curve DAO Token,CRV,0.61,,,,,,
Quant,QNT,65.01,,,,,,
The Graph,GRT,0.08,,,,,,
Sei,SEI,0.15,,,,,,
Four,FORM,1.97,,,,,,
Immutable,IMX,0.42,,,,,,
AB,AB,0.01,,,,,,
PAX Gold,PAXG,3264.41,,,,,,
Theta Network,THETA,0.73,,,,,,
Nexo,NEXO,1.04,,,,,,
Onyxcoin,XCN,0.02,,,,,,
JasmyCoin,JASMY,0.01,,,,,,
Lido DAO,LDO,0.73,,,,,,
The Sandbox,SAND,0.26,,,,,,
Gala,GALA,0.01,,,,,,
Walrus,WAL,0.49,,,,,,
Kaia,KAIA,0.10,,,,,,
BitTorrent [New],BTT,0.00,,,,,,
IOTA,IOTA,0.16,,,,,,
PancakeSwap,CAKE,1.99,,,,,,
Bitcoin SV,BSV,28.64,,,,,,
Tezos,XTZ,0.54,,,,,,
Zcash,ZEC,35.23,,,,,,
Flow,FLOW,0.35,,,,,,
Jito,JTO,1.72,,,,,,
FLOKI,FLOKI,0.00,,,,,,
Helium,HNT,2.95,,,,,,
Core,CORE,0.53,,,,,,
